Time,Ask,Bid,AskVolume,BidVolume
22.04.2013 10:38:34.598,1.02763,1.02756,2.78,2.25
22.04.2013 10:38:34.779,1.02764,1.02758,1.50,1.50
22.04.2013 10:38:35.026,1.02767,1.02754,1.65,2.25
22.04.2013 10:38:35.086,1.02767,1.02754,3.15,2.25
22.04.2013 10:38:35.228,1.02765,1.02754,1.50,2.25
22.04.2013 10:38:35.408,1.02765,1.02758,1.50,1.50
22.04.2013 10:38:35.917,1.02767,1.02757,1.50,1.50
22.04.2013 10:38:36.516,1.02768,1.02757,3.00,1.50
22.04.2013 10:38:37.446,1.02767,1.02757,1.50,1.50
22.04.2013 10:38:47.946,1.02767,1.02753,1.50,5.07
22.04.2013 10:38:48.447,1.02766,1.02753,1.50,1.88
22.04.2013 10:38:48.687,1.02766,1.02753,2.25,1.13
22.04.2013 10:38:49.226,1.02765,1.02753,2.25,1.13
22.04.2013 10:38:49.767,1.02765,1.02753,1.50,1.13
22.04.2013 10:38:50.127,1.02768,1.02757,1.35,1.50
22.04.2013 10:38:50.640,1.02768,1.02759,1.35,1.50
22.04.2013 10:38:51.186,1.02770,1.02759,2.25,1.50
22.04.2013 10:38:52.154,1.02770,1.02759,2.25,1.50
22.04.2013 10:38:52.709,1.02770,1.02759,2.25,1.50
22.04.2013 10:38:55.115,1.02770,1.02759,2.25,1.50
22.04.2013 10:38:55.846,1.02770,1.02759,6.00,1.50
22.04.2013 10:38:57.246,1.02770,1.02759,6.00,1.50
22.04.2013 10:38:58.044,1.02770,1.02759,6.00,1.50
22.04.2013 10:39:02.815,1.02770,1.02757,3.75,2.63
22.04.2013 10:39:03.587,1.02772,1.02759,2.85,2.25
22.04.2013 10:39:04.147,1.02773,1.02760,2.40,2.25
22.04.2013 10:39:04.978,1.02773,1.02761,3.15,1.50
22.04.2013 10:39:13.327,1.02773,1.02762,1.65,1.50
22.04.2013 10:39:15.347,1.02773,1.02762,1.65,1.50
22.04.2013 10:39:16.038,1.02773,1.02760,2.40,1.88
22.04.2013 10:39:16.097,1.02772,1.02760,1.50,1.13
22.04.2013 10:39:16.667,1.02772,1.02758,2.25,1.50
22.04.2013 10:39:17.177,1.02771,1.02758,2.25,1.50
